"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160002444426,18,"M",3,1,29,"BA","F","A","A",1,1,1,1,1,587.9,582.7,523.2,605.3,980,3279.1
160002412913,22,"F",3,1,24,"RN","M","A","A",1,1,1,1,1,676.3,720.1,687.7,692,980,3756.1
160002427616,17,"F",1,2,26,"PE","Q","A","A",1,1,1,1,1,743.2,770.3,684.8,964.5,980,4142.8
160002388345,17,"M",1,3,33,"RJ","Q","D","A",1,1,1,1,1,721.5,711.5,670.9,798.8,980,3882.7
160002402797,18,"F",1,1,24,"RN","Q","D","A",1,1,1,1,1,659.4,663,650.4,822.3,980,3775.1
160002388558,25,"M",3,1,33,"RJ","C","A","A",1,1,1,1,1,615.6,673.5,576.4,618,980,3463.5
160002420878,20,"F",3,1,15,"PA","D","A","A",1,1,1,1,1,528.4,610.6,527.8,588.8,980,3235.6
160008598802,21,"F",1,1,33,"RJ","H","B","A",1,1,1,1,1,598.8,612.7,559.3,471.2,980,3222
160002438884,17,"M",1,3,23,"CE","O","D","A",1,1,1,1,1,819.2,797.7,740.9,932.1,980,4269.9
160002403217,16,"F",1,1,27,"AL","M","D","A",1,1,1,1,1,616.2,676.9,632.5,586.1,980,3491.7
160002410418,19,"F",3,1,24,"RN","I","D","A",1,1,1,1,1,741,683.8,622.6,856.7,980,3884.1
160002396171,19,"M",2,1,29,"BA","F","A","A",1,1,1,1,1,611.6,720.1,671.3,589.2,980,3572.2
160002425154,17,"F",1,3,35,"SP","F","E","A",1,1,1,1,1,672.4,752.1,702.4,697.6,980,3804.5
160002414520,19,"M",1,1,35,"SP","H","A","B",1,1,1,1,1,683.4,673.6,640.5,686.5,980,3664
160002403882,21,"F",1,1,33,"RJ","E","A","B",1,1,1,1,1,637.8,674,605.1,733.9,980,3630.8
160002407584,18,"M",3,3,31,"RJ","E","E","A",1,1,1,1,1,678.6,690,632.8,800.1,980,3781.5
160002432783,20,"M",1,1,32,"ES","D","D","A",1,1,1,1,1,619.6,665.4,478.5,678.6,980,3422.1
160002400583,26,"F",1,1,42,"SC","Q","D","A",1,1,1,1,1,605,705.1,685.8,607.1,980,3583
160002422419,18,"F",3,1,27,"AL","G","D","A",1,1,1,1,1,591.4,615.3,598.5,532,980,3317.2
160002404617,18,"F",2,2,33,"RJ","E","A","A",1,1,1,1,1,590.2,586.3,587,648,980,3391.5
160002422858,18,"F",1,1,25,"PB","M","D","A",1,1,1,1,1,654.5,660.4,635.9,659.8,980,3590.6
160002412252,17,"F",1,2,35,"SP","F","A","A",1,1,1,1,1,618.4,648.8,612.9,508.5,980,3368.6
160002189351,18,"F",1,3,22,"PI","Q","D","B",1,1,1,1,1,679.4,732.2,573.2,888.3,980,3853.1
160002182351,18,"M",3,3,23,"CE","Q","E","A",1,1,1,1,1,782.2,750.4,704.8,912.8,980,4130.2
160002193106,16,"F",0,3,52,"GO","Q","D","A",1,1,1,1,1,657.1,708.4,693.9,475.9,980,3515.3
160002189608,19,"F",3,1,42,"RS","C","A","A",1,1,1,1,1,484.2,576.6,571.7,572.9,980,3185.4
160002504833,16,"F",3,3,22,"PI","E","D","A",1,1,1,1,1,555.9,587.7,580.4,468.4,980,3172.4
160002507053,17,"F",1,2,41,"PR","J","A","B",1,1,1,1,1,695.7,696.3,632.8,795.4,980,3800.2
160002525472,22,"F",3,1,32,"ES","I","A","A",1,1,1,1,1,648.4,679.6,596,650,980,3554
160002505681,17,"M",3,2,23,"CE","D","A","A",1,1,1,1,1,569.2,665.5,624.5,676.7,980,3515.9
160002513062,17,"F",3,2,31,"MG","C","A","A",1,1,1,1,1,530.1,603.9,607.8,575.7,980,3297.5
