"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160006708397,25,"M",1,1,41,"RJ","J","D","A",1,1,1,1,1,611.6,649,753.3,724.9,740,3478.8
160007968393,32,"M",2,1,33,"RJ","D","A","A",1,1,1,1,1,610.1,676.3,753.3,487.9,800,3327.6
160000501379,17,"M",1,3,41,"PR","K","E","A",1,1,1,1,1,699.7,678.9,753.2,758.5,780,3670.3
160003909017,17,"F",1,3,35,"SP","Q","D","A",1,1,1,1,1,707.6,670.2,753.2,901.1,860,3892.1
160005667416,29,"M",1,1,35,"SP","C","D","A",1,1,1,1,1,769.6,731.3,753.2,853.7,780,3887.8
160000037710,18,"F",0,1,35,"MG","I","D","A",1,1,1,1,1,786.4,737.8,753,894.3,920,4091.5
160000090331,18,"F",1,3,53,"DF","J","D","A",1,1,1,1,1,662.2,704.9,753,681.7,800,3601.8
160001749825,19,"F",4,1,35,"SP","H","E","A",1,1,1,1,1,755.7,765.1,752.9,856.2,880,4009.9
160006397880,19,"M",3,1,52,"GO","I","D","A",1,1,1,1,1,803.8,766,752.9,919.9,780,4022.6
160002805503,18,"F",1,1,35,"SP","Q","D","A",1,1,1,1,1,760.6,774.8,752.8,856.8,960,4105
160008626682,18,"F",1,1,35,"SP","P","D","A",1,1,1,1,1,741.9,764.5,752.8,701.2,980,3940.4
160008084068,20,"M",3,1,31,"MG","G","A","A",1,1,1,1,1,664.7,699.2,752.7,793,720,3629.6
160002257308,17,"F",1,3,35,"SP","I","D","A",1,1,1,1,1,724.1,691.8,752.5,776.3,940,3884.7
160003530854,21,"F",1,1,35,"SP","O","D","A",1,1,1,1,1,775.9,825.6,752.5,764,960,4078
160002713675,18,"F",1,3,35,"SP","D","E","A",1,1,1,1,1,674.6,701.4,752.4,740.1,560,3428.5
160000545992,16,"M",3,3,23,"CE","M","E","A",1,1,1,1,1,806.3,779.7,752.3,911.3,940,4189.6
160003093157,17,"F",1,3,28,"SE","H","D","A",1,1,1,1,1,700.1,734.9,752.3,783.8,920,3891.1
160005450268,18,"F",1,1,43,"RS","F","E","A",1,1,1,1,1,701.6,724.1,752.2,802.1,800,3780
